transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_cycle_out,P06_controller_high_L,ENGINEERING_PRIMARY,4,6+12,0,,3,125,0.0767808573547432,0.0734828209808287,0.0429538883458522,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,1,6,0,,3,126,0.0562996206304788,0.0502198355572829,0.107989805350561,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,1,12,0,,3,126,0.0562996206304788,0.0496721545758534,0.117717774656504,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,1,6+12,0,,3,126,0.0562996206304788,0.042726627788063,0.241084978733725,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,2,6,0,,3,125,0.0562560305742195,0.050277116867938,0.106280404878432,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,2,12,0,,3,125,0.0562560305742195,0.0496861722748325,0.11678496033806,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,2,6+12,0,,3,125,0.0562560305742195,0.0427987727221163,0.239214493357273,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,3,6,0,,3,124,0.056211702827921,0.0503387904121586,0.104478464809026,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,3,12,0,,3,124,0.056211702827921,0.0497049670624211,0.11575411236729,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,3,6+12,0,,3,124,0.056211702827921,0.0428767340937092,0.237227624557713,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,4,6,0,,3,126,0.0562996206304724,0.0502198355572613,0.107989805350845,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,4,12,0,,3,126,0.0562996206304724,0.0496721545758551,0.117717774656373,1,1
leave_one_cycle_out,P07_controller_low_L,ENGINEERING_PRIMARY,4,6+12,0,,3,126,0.0562996206304724,0.0427266277880479,0.241084978733908,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,1,6,0,,3,126,0.0738651928250452,0.0704802140714631,0.0458264390049001,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,1,12,0,,3,126,0.0738651928250452,0.0701277000834139,0.0505988355094918,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,1,6+12,0,,3,126,0.0738651928250452,0.0665830284723572,0.0985872245664661,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,2,6,0,,3,125,0.0737706543838762,0.0704088933208913,0.0455704384224591,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,2,12,0,,3,125,0.0737706543838762,0.0702135972469036,0.0482177793687847,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,2,6+12,0,,3,125,0.0737706543838762,0.066672723424185,0.0962161854055973,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,3,6,0,,3,124,0.0736744668676286,0.0703451180013558,0.0451899960437392,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,3,12,0,,3,124,0.0736744668676286,0.0703055815610078,0.0457266329822736,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,3,6+12,0,,3,124,0.0736744668676286,0.0667723615298842,0.0936838178977991,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,4,6,0,,3,125,0.073770654383908,0.0704088933209253,0.045570438422408,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,4,12,0,,3,125,0.073770654383908,0.0702135972469225,0.048217779368938,1,1
leave_one_cycle_out,P08_opposed_20pct,ENGINEERING_PRIMARY,4,6+12,0,,3,125,0.073770654383908,0.0666727234242057,0.0962161854057045,1,1
