case_id,window_id,cycle_id,split,evidence_role,axis,order,c0_real,c0_imag,c_cos_real,c_cos_imag,c_sin_real,c_sin_imag,amplitude,phase,complex_coefficient_real,complex_coefficient_imag,residual_vector_rms,interpolation_rmse,extrapolated_grid_fraction,angle_points,valid
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,dq_positive,6,3.94633711451843e-06,-1.06537500512373e-06,0.00710433361232939,-0.00675228140189138,0.00201701767830726,-0.00218162250037302,0.0100565247998377,-1.05927524373434,0.00492271111195638,-0.00876929908019864,0.007369160237107,0.00111089196120268,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,6,3.94633711451843e-06,-1.06537500512373e-06,0.00710433361232939,-0.00675228140189138,0.00201701767830726,-0.00218162250037302,0.010423612783432,-0.471566521045264,0.00928595611270241,-0.00473526372358412,0.007369160237107,0.00111089196120268,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,d,12,3.94633711451843e-06,0,0.00264986992126822,0,0.00112871953014917,0,0.00288024623554692,-0.402677406339115,0.00264986992126822,-0.00112871953014917,0.007369160237107,0.00111089196120268,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,q,12,-1.06537500512373e-06,0,1.54286829693187e-05,0,-0.00294632143028796,0,0.00294636182686925,1.56555978274878,1.54286829693187e-05,0.00294632143028796,0.007369160237107,0.00111089196120268,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,dq_positive,12,3.94633711451843e-06,-1.06537500512373e-06,0.00264986992126822,1.54286829693187e-05,0.00112871953014917,-0.00294632143028796,0.00115208506960837,-1.83104139716368,-0.000296451509019747,-0.00111329084717985,0.007369160237107,0.00111089196120268,0.01171875,256,1
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,12,3.94633711451843e-06,-1.06537500512373e-06,0.00264986992126822,1.54286829693187e-05,0.00112871953014917,-0.00294632143028796,0.005711955249896,0.201671903400969,0.00559619135155618,0.00114414821311849,0.007369160237107,0.00111089196120268,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,d,6,-4.32071794799843e-06,0,0.0147098798985142,0,0.00585411871542842,0,0.0158319699520635,-0.378756785250965,0.0147098798985142,-0.00585411871542842,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,q,6,3.92833960999787e-06,0,-0.0102644446463892,0,-0.0010782276048108,0,0.0103209204369845,3.03693158160912,-0.0102644446463892,0.0010782276048108,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,6,-4.32071794799843e-06,3.92833960999787e-06,0.0147098798985142,-0.0102644446463892,0.00585411871542842,-0.0010782276048108,0.0211099509498568,-0.86879730868828,0.0136316522937034,-0.0161185633618176,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,6,-4.32071794799843e-06,3.92833960999787e-06,0.0147098798985142,-0.0102644446463892,0.00585411871542842,-0.0010782276048108,0.0163925383438274,-0.272401044657051,0.015788107503325,-0.00441032593096078,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,d,12,-4.32071794799843e-06,0,0.0113467123495897,0,-0.00861265629451406,0,0.0142452002299639,0.649264318787318,0.0113467123495897,0.00861265629451406,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,q,12,3.92833960999787e-06,0,-0.00853304574680813,0,0.00550154582073765,0,0.0101528260171637,-2.56892818706087,-0.00853304574680813,-0.00550154582073765,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,dq_positive,12,-4.32071794799843e-06,3.92833960999787e-06,0.0113467123495897,-0.00853304574680813,-0.00861265629451406,0.00550154582073765,0.0168484462551687,0.00472511487061058,0.0168482581703274,7.96105477059335e-05,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,1,calibration,ENGINEERING_PRIMARY,dq_negative,12,-4.32071794799843e-06,3.92833960999787e-06,0.0113467123495897,-0.00853304574680813,-0.00861265629451406,0.00550154582073765,0.0181146645080667,-1.24224102267922,0.00584516652885206,-0.0171457020413222,0.00774704435669869,0.00116351991836066,0,256,1
C09_S2_boundary,C09_S2_boundary__steady,2,calibration,ENGINEERING_PRIMARY,d,6,-4.32071791854956e-06,0,0.0147098798985365,0,0.00585411871544599,0,0.0158319699520907,-0.378756785251476,0.0147098798985365,-0.00585411871544599,0.0077470443566758,0.00116932304621722,0.01171875,256,1
