case_id,evidence_role,axis,order,cycle_count,calibration_cycle_count,validation_cycle_count,mean_speed,frequency_hz,amplitude_mean,amplitude_std,amplitude_cv,circular_mean_phase,phase_resultant_R,peak_snr_db,calibration_amplitude,validation_amplitude,validation_to_calibration_amplitude_ratio,validation_phase_shift,held_out_repeatable,snr_pass,cv_pass,phase_pass,stable_periodic_component
P02_Ld_plus10,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.0158694216821245,3.96522761723849e-05,0.00249865918031845,-0.997935378858551,0.997901735233823,21.7067849443517,0.0158912778529266,0.0158584935967234,0.997936965390282,0.134712920838433,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.00867650502424017,0.0002760144259145,0.0318117058819627,-0.260558084659968,0.997616498344358,21.7067849443517,0.00899461897796441,0.00851744804737805,0.946949289152174,0.143414622861982,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00482517639252237,0.00104648740860598,0.216880653363831,-1.22263766816041,0.94794339825828,7.12049785051266,0.0054061187199151,0.00453470522882601,0.838809775323844,0.665712793684687,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.00454930736323127,0.000679558374821074,0.149376228195406,2.62152446157309,0.980044048326897,12.0344927618035,0.00503736960591535,0.00430527624188923,0.85466753061629,0.341803032570563,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.00851050807174761,0.00175698267246727,0.206448623002889,-1.64688696370354,0.964445221458474,8.87021768530258,0.00988379875813889,0.00782386272855197,0.791584584025383,0.50584064673831,1,1,1,1,1
P02_Ld_plus10,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.00388858469460284,0.000798560651244343,0.205360231025109,0.143699885304846,0.965208929678731,8.87021768530258,0.00339307330151363,0.00413634039114745,1.21905423891145,0.557368644618722,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.00706611564887864,0.000298846435257848,0.0422928876497052,-0.103109904828694,0.99996210821327,30.7477508644013,0.00711419147055536,0.00704207773804028,0.989863397293487,0.0174185637478109,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00849240163615172,0.000333734748757871,0.0392980411262203,2.5649824346104,0.999929074633826,34.8074507907419,0.00845888015182029,0.00850916237831743,1.0059443124379,0.0246921613132195,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.00820511623202802,0.000359642443405304,0.043831486749873,-1.27436504477782,0.999940530336378,32.6748653829754,0.00838511534735846,0.0081151166743628,0.967800243430077,0.0231091931857357,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.013295113158015,0.000546545334388862,0.0411087388195246,-0.501495407145246,0.999993820088764,32.6748653829754,0.0131916105164099,0.0133468644788175,1.01176914389751,0.00134412606008426,1,1,1,1,1
