case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
A_C12_010,C12,coarse_scan,stress_test_range,0.04,0.16,0.002,0.318,0.68,0.45634768856656,0.208,12200,1830
A_C12_011,C12,coarse_scan,stress_test_range,0.04,0.64,0.002,0.582,0.416,0.445481543272669,0.32,10786.6666666667,1618
A_C12_012,C12,coarse_scan,stress_test_range,0.04,1,0.01,0.65,0.34,0.4420758906661,0.472,9560,1434
A_C12_013,C12,coarse_scan,stress_test_range,0.16,0,0.002,0.27,0.728,0.454905931895692,0.304,12346.6666666667,1852
A_C12_014,C12,coarse_scan,stress_test_range,0.16,0.0225,0.002,0.348,0.65,0.457569473726391,0.148,12093.3333333333,1814
A_C12_015,C12,coarse_scan,stress_test_range,0.16,0.04,0.002,0.354,0.644,0.456244660760188,0.136,12080,1812
A_C12_016,C12,coarse_scan,stress_test_range,0.16,0.16,0.002,0.422,0.576,0.455422943194659,0,11813.3333333333,1772
A_C12_017,C12,coarse_scan,stress_test_range,0.16,0.64,0.002,0.7,0.298,0.458810228173478,0.556,10600,1590
A_C12_018,C12,coarse_scan,stress_test_range,0.16,1,0.012,0.716,0.272,0.447435572265086,0.608,9506.66666666667,1426
A_C12_019,C12,coarse_scan,stress_test_range,0.36,0,0.002,0.414,0.584,0.457978885130905,0.016,11893.3333333333,1784
A_C12_020,C12,coarse_scan,stress_test_range,0.36,0.0225,0.002,0.428,0.57,0.455992569814461,0.012,11826.6666666667,1774
A_C12_021,C12,coarse_scan,stress_test_range,0.36,0.04,0.002,0.464,0.534,0.457978697607401,0.084,11680,1752
A_C12_022,C12,coarse_scan,stress_test_range,0.36,0.16,0.002,0.622,0.376,0.459048000376257,0.4,11213.3333333333,1682
A_C12_023,C12,coarse_scan,stress_test_range,0.36,0.64,0.002,0.788,0.21,0.460221884475628,0.732,10146.6666666667,1522
A_C12_024,C12,coarse_scan,stress_test_range,0.36,1,0.006,0.82,0.174,0.456769253068603,0.804,9480,1422
A_C12_025,C12,coarse_scan,stress_test_range,0.64,0,0.002,0.552,0.446,0.457934028520493,0.26,11426.6666666667,1714
A_C12_026,C12,coarse_scan,stress_test_range,0.64,0.0225,0.002,0.628,0.37,0.458568453454699,0.412,11160,1674
A_C12_027,C12,coarse_scan,stress_test_range,0.64,0.04,0.002,0.676,0.322,0.460428007950876,0.508,10960,1644
