cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
case,C05_negative_id,P2c,noncausal_future_endpoint_oracle,1198,8,1180,5,5,0.00417362270450751,0.00417362270450751,0.615384615384615,0.9957805907173,1
case,C05_negative_id,P3a,causal_previous_period_oracle,1197,7,1180,6,4,0.0050125313283208,0.00334168755221387,0.538461538461538,0.996621621621622,1
case,C05_negative_id,P3b,offline_physical_parameter_oracle,1198,8,1162,5,23,0.00417362270450751,0.0191986644407346,0.615384615384615,0.980590717299578,1
case,C05_negative_id,P3c,noncausal_future_endpoint_oracle,1198,8,1180,5,5,0.00417362270450751,0.00417362270450751,0.615384615384615,0.9957805907173,1
case,C05_negative_id,P4,offline_physical_parameter_oracle,1198,8,1180,5,5,0.00417362270450751,0.00417362270450751,0.615384615384615,0.9957805907173,1
case,C05_negative_id,P5,offline_plant_replay_oracle,1198,13,1185,0,0,0,0,1,1,0
case,C06_low_bus_43p2V,P0,causal_original,1198,0,1176,22,0,0.0183639398998331,0,0,1,2
case,C06_low_bus_43p2V,P1,causal_original,1198,0,1176,22,0,0.0183639398998331,0,0,1,2
case,C06_low_bus_43p2V,P2a,causal_previous_period_oracle,1197,12,1175,10,0,0.00835421888053467,0,0.545454545454545,1,1
case,C06_low_bus_43p2V,P2b,offline_physical_parameter_oracle,1198,12,1167,10,9,0.00834724540901502,0.00751252086811352,0.545454545454545,0.99234693877551,1
case,C06_low_bus_43p2V,P2c,noncausal_future_endpoint_oracle,1198,13,1176,9,0,0.00751252086811352,0,0.590909090909091,1,1
case,C06_low_bus_43p2V,P3a,causal_previous_period_oracle,1197,12,1175,10,0,0.00835421888053467,0,0.545454545454545,1,1
case,C06_low_bus_43p2V,P3b,offline_physical_parameter_oracle,1198,12,1167,10,9,0.00834724540901502,0.00751252086811352,0.545454545454545,0.99234693877551,1
case,C06_low_bus_43p2V,P3c,noncausal_future_endpoint_oracle,1198,13,1176,9,0,0.00751252086811352,0,0.590909090909091,1,1
case,C06_low_bus_43p2V,P4,offline_physical_parameter_oracle,1198,13,1176,9,0,0.00751252086811352,0,0.590909090909091,1,1
case,C06_low_bus_43p2V,P5,offline_plant_replay_oracle,1198,22,1176,0,0,0,0,1,1,0
case,C07_known_false_safe,P0,causal_original,29,4,6,19,0,0.655172413793103,0,0.173913043478261,1,11
case,C07_known_false_safe,P1,causal_original,29,4,6,19,0,0.655172413793103,0,0.173913043478261,1,11
case,C07_known_false_safe,P2a,causal_previous_period_oracle,28,4,4,19,1,0.678571428571429,0.0357142857142857,0.173913043478261,0.8,11
case,C07_known_false_safe,P2b,offline_physical_parameter_oracle,29,5,5,18,1,0.620689655172414,0.0344827586206897,0.217391304347826,0.833333333333333,10
case,C07_known_false_safe,P2c,noncausal_future_endpoint_oracle,29,10,6,13,0,0.448275862068966,0,0.434782608695652,1,10
case,C07_known_false_safe,P3a,causal_previous_period_oracle,28,4,4,19,1,0.678571428571429,0.0357142857142857,0.173913043478261,0.8,11
case,C07_known_false_safe,P3b,offline_physical_parameter_oracle,29,5,5,18,1,0.620689655172414,0.0344827586206897,0.217391304347826,0.833333333333333,10
case,C07_known_false_safe,P3c,noncausal_future_endpoint_oracle,29,10,6,13,0,0.448275862068966,0,0.434782608695652,1,10
case,C07_known_false_safe,P4,offline_physical_parameter_oracle,29,10,6,13,0,0.448275862068966,0,0.434782608695652,1,10
case,C07_known_false_safe,P5,offline_plant_replay_oracle,29,23,6,0,0,0,0,1,1,0
case,C08_S2_nontrigger,P0,causal_original,1198,4,1190,4,0,0.00333889816360601,0,0.5,1,1
case,C08_S2_nontrigger,P1,causal_original,1198,4,1190,4,0,0.00333889816360601,0,0.5,1,1
case,C08_S2_nontrigger,P2a,causal_previous_period_oracle,1197,5,1186,2,4,0.00167084377610693,0.00334168755221387,0.714285714285714,0.996638655462185,1
case,C08_S2_nontrigger,P2b,offline_physical_parameter_oracle,1198,8,1188,0,2,0,0.00166944908180301,1,0.998319327731092,0
